,Volatility_Tin_True_train,Volatility_Tin_5_train_LSTM,Volatility_Tin_5_train_real_LSTM,Volatility_Tin_22_train_LSTM,Volatility_Tin_22_train_real_LSTM
2009-04-22,0.5273576325509263,0.55166507,0.5226044233002105,0.65190804,0.61160159631298
2009-04-23,0.5323326368158022,0.54502535,0.5078985232144291,0.6496633,0.6113924643290463
2009-04-24,0.5348094425307971,0.53045887,0.47736403060178845,0.6482233,0.6112630691772565
2009-04-27,0.5377742896545263,0.5004162,0.45797270091489717,0.6471492,0.5979479044245504
2009-04-28,0.528315886113192,0.47787458,0.4884412616888667,0.6374131,0.6102269735004048
2009-04-29,0.5226044233002105,0.50146353,0.48986172491297664,0.6422888,0.5727099490947245
2009-05-01,0.5078985232144291,0.50952685,0.4880811489515431,0.61764765,0.5677133927023672
2009-05-04,0.47736403060178845,0.5108913,0.5297224648036574,0.6060207,0.5453921851726989
2009-05-05,0.45797270091489717,0.54657936,0.5476734265856534,0.58566,0.5191107486449873
2009-05-06,0.4884412616888667,0.5677732,0.5878518364027713,0.55773425,0.5110143591446638
2009-05-07,0.48986172491297664,0.60607666,0.5954654480851882,0.54341996,0.5063223724845284
2009-05-08,0.4880811489515431,0.61896,0.5924659299626066,0.53601086,0.5122396476665906
2009-05-11,0.5297224648036574,0.61717546,0.6133552839706397,0.536878,0.5261289297311913
2009-05-12,0.5476734265856534,0.6333777,0.6082856954093445,0.54749554,0.5263058185687738
2009-05-13,0.5878518364027713,0.63080084,0.6082868300972972,0.5518101,0.505942060913039
2009-05-14,0.5954654480851882,0.63061464,0.6156239382535634,0.5392596,0.5111216384405486
2009-05-15,0.5924659299626066,0.6367048,0.613016735316389,0.5387017,0.5098216358242444
2009-05-18,0.6133552839706397,0.6347917,0.61160159631298,0.53759694,0.47671188275174947
2009-05-19,0.6082856954093445,0.6335794,0.6113924643290463,0.5124581,0.437408659687206
2009-05-20,0.6082868300972972,0.6330849,0.6112630691772565,0.47360176,0.43115326053822267
2009-05-21,0.6156239382535634,0.63274395,0.5979479044245504,0.45608512,0.4078844077802256
2009-05-22,0.613016735316389,0.62079287,0.6102269735004048,0.43419057,0.3588849303462889
2009-05-25,0.61160159631298,0.6302908,0.5727099490947245,0.39159766,0.316897791037091
2009-05-26,0.6113924643290463,0.59716356,0.5677133927023672,0.34730488,0.3120038767456873
2009-05-27,0.6112630691772565,0.58887744,0.5453921851726989,0.32383397,0.3130188818867203
2009-05-28,0.5979479044245504,0.5679639,0.5191107486449873,0.31761613,0.2870026011893939
2009-05-29,0.6102269735004048,0.5406856,0.5110143591446638,0.3013733,0.286604612182926
2009-06-01,0.5727099490947245,0.5306968,0.5063223724845284,0.2932995,0.3136360803534439
2009-06-02,0.5677133927023672,0.52557784,0.5122396476665906,0.3094297,0.29218151220848537
2009-06-03,0.5453921851726989,0.5313407,0.5261289297311913,0.3071818,0.2875751863289106
2009-06-04,0.5191107486449873,0.54558325,0.5263058185687738,0.30162624,0.29109176518778906
