,Volatility_Copper_True_LSTM_GARCH_train,Volatility_Copper_3_train_GARCH_LSTM,Volatility_Copper_3_train_real_GARCH_LSTM
2011-06-06,0.2420735516091412,0.2338893,0.2214905774236278
2011-06-07,0.2345403090136324,0.22537374,0.22146048086121065
2011-06-08,0.23320689202010766,0.22174409,0.21759677061988106
2011-06-09,0.2214905774236278,0.21807428,0.2166216410587947
2011-06-10,0.22146048086121065,0.2163482,0.23057593894417497
2011-06-13,0.21759677061988106,0.22412805,0.22012713990434898
2011-06-14,0.2166216410587947,0.22152176,0.18845376843801107
2011-06-15,0.23057593894417497,0.2034798,0.18885670451003708
2011-06-16,0.22012713990434898,0.18950498,0.1884216200573461
2011-06-17,0.18845376843801107,0.18745165,0.18729597262884504
2011-06-20,0.18885670451003708,0.18671535,0.1528700570317916
2011-06-21,0.1884216200573461,0.17124562,0.14891392839776987
2011-06-22,0.18729597262884504,0.15460745,0.1542017180063239
2011-06-23,0.1528700570317916,0.15166532,0.15589196843946904
2011-06-24,0.14891392839776987,0.15449306,0.15788186789422867
2011-06-27,0.1542017180063239,0.15637985,0.15696268976864738
2011-06-28,0.15589196843946904,0.15687487,0.15113305398963198
2011-06-29,0.15788186789422867,0.15394679,0.14471364866766903
2011-06-30,0.15696268976864738,0.14842246,0.12233867779358701
2011-07-01,0.15113305398963198,0.13624878,0.12352310853963208
2011-07-04,0.14471364866766903,0.12589124,0.10382437883676285
2011-07-05,0.12233867779358701,0.11966111,0.12374525257968269
2011-07-06,0.12352310853963208,0.11933279,0.11965922441545876
2011-07-07,0.10382437883676285,0.12174094,0.12307141122953827
2011-07-08,0.12374525257968269,0.1241553,0.125714763682418
2011-07-11,0.11965922441545876,0.12668017,0.10858495344996408
2011-07-12,0.12307141122953827,0.12200534,0.10998033283290384
2011-07-13,0.125714763682418,0.115265384,0.10870317777922209
2011-07-14,0.10858495344996408,0.11214665,0.10871520832234291
2011-07-15,0.10998033283290384,0.11200385,0.11464048872921209
2011-07-18,0.10870317777922209,0.11419539,0.11178955730357212
2011-07-19,0.10871520832234291,0.11532581,0.11952185113947197
2011-07-20,0.11464048872921209,0.11858137,0.11191846180338419
2011-07-21,0.11178955730357212,0.1182452,0.11137795206596299
2011-07-22,0.11952185113947197,0.116048895,0.09248539265301842
2011-07-25,0.11191846180338419,0.10888004,0.09786884384754685
2011-07-26,0.11137795206596299,0.10370065,0.09972267180513694
2011-07-27,0.09248539265301842,0.09971665,0.09860377407652737
2011-07-28,0.09786884384754685,0.10154389,0.11160138936915873
2011-07-29,0.09972267180513694,0.10756365,0.11165528879701139
2011-08-01,0.09860377407652737,0.11169829,0.11833720862594752
2011-08-02,0.11160138936915873,0.11749168,0.13044459111088982
2011-08-03,0.11165528879701139,0.12672663,0.13761297708877876
2011-08-04,0.11833720862594752,0.13654855,0.17293747997362632
2011-08-05,0.13044459111088982,0.15681276,0.1719522157117461
2011-08-08,0.13761297708877876,0.1677041,0.15926072870169247
2011-08-09,0.17293747997362632,0.16547954,0.1886238410103376
2011-08-10,0.1719522157117461,0.17547037,0.19044523375591874
2011-08-11,0.15926072870169247,0.18507314,0.19338775220461543
2011-08-12,0.1886238410103376,0.19081779,0.19582792483002062
2011-08-16,0.19044523375591874,0.1932971,0.19783009392412246
2011-08-17,0.19338775220461543,0.19549718,0.17777440399822722
2011-08-18,0.19582792483002062,0.1855412,0.17692078927308666
2011-08-19,0.19783009392412246,0.17769484,0.1768999956293961
2011-08-22,0.17777440399822722,0.17628273,0.1712089072657946
2011-08-23,0.17692078927308666,0.1731913,0.19625298469677507
2011-08-24,0.1768999956293961,0.18500562,0.19598852163239047
2011-08-25,0.1712089072657946,0.19195195,0.1945396301582669
2011-08-26,0.19625298469677507,0.19389853,0.19908615127483018
2011-08-29,0.19598852163239047,0.19613802,0.2036536055579404
2011-08-30,0.1945396301582669,0.20003624,0.20386273026562932
2011-08-31,0.19908615127483018,0.20196906,0.20316852441152425
2011-09-01,0.2036536055579404,0.2021224,0.20229337756782725
2011-09-02,0.20386273026562932,0.20141654,0.20520349243533256
2011-09-05,0.20316852441152425,0.20283389,0.20799025051096784
2011-09-06,0.20229337756782725,0.20526762,0.20437843076813825
2011-09-07,0.20520349243533256,0.20421827,0.22318014261606042
2011-09-08,0.20799025051096784,0.21467777,0.22328955241955242
2011-09-09,0.20437843076813825,0.21979925,0.21712371134912808
2011-09-12,0.22318014261606042,0.21850629,0.21712568640624066
2011-09-13,0.22328955241955242,0.21672682,0.22094871037540695
2011-09-14,0.21712371134912808,0.21837728,0.21576256599832053
2011-09-15,0.21712568640624066,0.21628058,0.231200664508699
2011-09-16,0.22094871037540695,0.22464857,0.20087864993910357
2011-09-19,0.21576256599832053,0.21057777,0.19996149731688836
2011-09-20,0.231200664508699,0.20131902,0.2690086868520095
2011-09-21,0.20087864993910357,0.23494749,0.2823308328094565
2011-09-22,0.19996149731688836,0.2666909,0.2794463488032438
2011-09-23,0.2690086868520095,0.27932435,0.3130103734050299
2011-09-26,0.2823308328094565,0.30019072,0.376627186478642
2011-09-27,0.2794463488032438,0.34350806,0.3761890279514122
2011-09-28,0.3130103734050299,0.36900455,0.38527812759252156
2011-09-29,0.376627186478642,0.38270187,0.38866990316587635
2011-09-30,0.3761890279514122,0.38684848,0.39014080688489083
2011-10-03,0.38527812759252156,0.38958597,0.38961501051186687
2011-10-04,0.38866990316587635,0.38994816,0.4132514345155336
2011-10-05,0.39014080688489083,0.40505892,0.41461260469518446
2011-10-06,0.38961501051186687,0.41111293,0.43143891345316343
2011-10-07,0.4132514345155336,0.4248951,0.4331007352048919
2011-10-10,0.41461260469518446,0.42965356,0.4493156521650926
2011-10-11,0.43143891345316343,0.44228655,0.45944259543402144
2011-10-12,0.4331007352048919,0.4522894,0.47958683171419636
2011-10-13,0.4493156521650926,0.46900576,0.48032002375177907
2011-10-14,0.45944259543402144,0.47450534,0.47971820037468793
2011-10-17,0.47958683171419636,0.47629014,0.4822271772875294
2011-10-18,0.48032002375177907,0.47790608,0.510948247589437
2011-10-19,0.47971820037468793,0.49683928,0.5631321898680188
2011-10-20,0.4822271772875294,0.5337435,0.621043489801592
2011-10-21,0.510948247589437,0.58186376,0.6216456439302259
2011-10-24,0.5631321898680188,0.6006982,0.628065924019113
2011-10-25,0.621043489801592,0.6100053,0.6644621011434199
2011-10-26,0.6216456439302259,0.63419354,0.6641176145606991
2011-10-27,0.628065924019113,0.6401366,0.6568395948289594
2011-10-28,0.6644621011434199,0.63829833,0.6678655015444573
2011-10-31,0.6641176145606991,0.6444174,0.6759834684175959
2011-11-01,0.6568395948289594,0.6506186,0.6378010756075201
2011-11-02,0.6678655015444573,0.6276711,0.6143687839509239
2011-11-03,0.6759834684175959,0.6073863,0.6156100449437408
2011-11-04,0.6378010756075201,0.6020688,0.5994047756712336
2011-11-07,0.6143687839509239,0.58976495,0.5494946559004561
2011-11-08,0.6156100449437408,0.55426484,0.5558827493172198
2011-11-09,0.5994047756712336,0.54795027,0.5566539033275074
2011-11-10,0.5494946559004561,0.5467781,0.5562207784766677
2011-11-11,0.5558827493172198,0.5471935,0.549868727524951
2011-11-14,0.5566539033275074,0.54297495,0.5497026622463121
2011-11-15,0.5562207784766677,0.54181,0.5457311901774177
2011-11-16,0.549868727524951,0.53857976,0.5487298924824293
2011-11-17,0.5497026622463121,0.539899,0.5481783440898367
2011-11-18,0.5457311901774177,0.53967583,0.548125062149839
2011-11-21,0.5487298924824293,0.5398216,0.5449066543598743
2011-11-22,0.5481783440898367,0.5376277,0.5304210716642209
2011-11-23,0.548125062149839,0.5274408,0.517205068271229
2011-11-24,0.5449066543598743,0.5159318,0.5216892567013194
2011-11-25,0.5304210716642209,0.5154237,0.521651762175842
2011-11-28,0.517205068271229,0.5149528,0.5481169036560962
2011-11-29,0.5216892567013194,0.53257436,0.5083013333829457
2011-11-30,0.521651762175842,0.5108139,0.4640083124403004
2011-12-01,0.5481169036560962,0.47630295,0.40513558940038463
2011-12-02,0.5083013333829457,0.4259666,0.4044241934714823
2011-12-05,0.4640083124403004,0.40673774,0.3996595926322034
2011-12-06,0.40513558940038463,0.40132204,0.34551202529894887
2011-12-07,0.4044241934714823,0.36517796,0.35357589455256166
2011-12-08,0.3996595926322034,0.3540939,0.356636733785084
2011-12-09,0.34551202529894887,0.3554983,0.337056863382734
2011-12-12,0.35357589455256166,0.34432918,0.36616404727416785
2011-12-13,0.356636733785084,0.35833934,0.3672086777340041
2011-12-14,0.337056863382734,0.36409584,0.365209134476118
2011-12-15,0.36616404727416785,0.36654264,0.3642862290945085
2011-12-16,0.3672086777340041,0.36562854,0.37055479813154724
2011-12-19,0.365209134476118,0.3692465,0.363679442338797
2011-12-20,0.3642862290945085,0.36605993,0.355769155514832
2011-12-21,0.37055479813154724,0.36008224,0.33652990723672804
2011-12-22,0.363679442338797,0.34495166,0.3365247771252614
2011-12-23,0.355769155514832,0.33929318,0.3381229028422359
2011-12-26,0.33652990723672804,0.33856717,0.3391263035946658
2011-12-27,0.3365247771252614,0.33957785,0.3161906754903173
2011-12-28,0.3381229028422359,0.3250305,0.315891098802655
2011-12-29,0.3391263035946658,0.31900087,0.30369065741355894
2011-12-30,0.3161906754903173,0.3090205,0.3015474022507131
2012-01-02,0.315891098802655,0.3044206,0.3027113845593794
2012-01-03,0.30369065741355894,0.3034504,0.30523085764593283
2012-01-04,0.3015474022507131,0.30508727,0.3049752929587176
2012-01-05,0.3027113845593794,0.30568665,0.29590332598658065
2012-01-06,0.30523085764593283,0.3001035,0.3019495695581642
2012-01-09,0.3049752929587176,0.3015344,0.22498916127292093
2012-01-10,0.29590332598658065,0.2590561,0.2387276588209096
2012-01-11,0.3019495695581642,0.23436952,0.24079442553427824
2012-01-12,0.22498916127292093,0.23775439,0.238795727171728
2012-01-13,0.2387276588209096,0.23882289,0.24255762041759574
2012-01-16,0.24079442553427824,0.24087219,0.2420116398326275
2012-01-17,0.238795727171728,0.2413702,0.23940770495063637
2012-01-18,0.24255762041759574,0.23999575,0.23107295746099607
2012-01-19,0.2420116398326275,0.23393235,0.21987250660386912
2012-01-20,0.23940770495063637,0.22433782,0.21747736801552484
2012-01-23,0.23107295746099607,0.218587,0.16941852516745856
2012-01-24,0.21987250660386912,0.1939415,0.1742416183147891
2012-01-25,0.21747736801552484,0.17421181,0.18508833149095963
2012-01-27,0.16941852516745856,0.17936428,0.18588357399698494
2012-01-30,0.1742416183147891,0.1834,0.1792919396235372
2012-01-31,0.18508833149095963,0.18113184,0.19813935409113112
2012-02-01,0.18588357399698494,0.1898228,0.215610888912271
2012-02-02,0.1792919396235372,0.20475788,0.2184610702388626
2012-02-03,0.19813935409113112,0.21399012,0.2196010159811523
2012-02-06,0.215610888912271,0.21774626,0.2156925381796956
2012-02-07,0.2184610702388626,0.21600941,0.22316682678156188
2012-02-08,0.2196010159811523,0.21963541,0.23874959961505784
2012-02-09,0.2156925381796956,0.23064744,0.23737848157223915
2012-02-10,0.22316682678156188,0.23534675,0.23864938488973256
2012-02-13,0.23874959961505784,0.23777397,0.22327545960075793
2012-02-14,0.23737848157223915,0.22836336,0.201481176626456
2012-02-15,0.23864938488973256,0.21157713,0.21369536406536974
2012-02-16,0.22327545960075793,0.2094213,0.21354972714706524
2012-02-17,0.201481176626456,0.21094365,0.23591521775220894
2012-02-20,0.21369536406536974,0.22557776,0.22866873449860506
2012-02-21,0.21354972714706524,0.22775733,0.23028408226579175
2012-02-22,0.23591521775220894,0.22967473,0.21048769310306967
2012-02-23,0.22866873449860506,0.21737714,0.20750232363918467
2012-02-24,0.23028408226579175,0.209482,0.20979589366514875
2012-02-27,0.21048769310306967,0.20797959,0.2077874270742777
2012-02-28,0.20750232363918467,0.20706832,0.21801712543002713
2012-02-29,0.20979589366514875,0.21301277,0.21776617733806405
2012-03-01,0.2077874270742777,0.21551958,0.21262219824431197
2012-03-02,0.21801712543002713,0.21354012,0.2280473280203447
2012-03-05,0.21776617733806405,0.2214061,0.23688895745127644
2012-03-06,0.21262219824431197,0.23060808,0.22150193443399138
2012-03-07,0.2280473280203447,0.22564831,0.21984280519208207
2012-03-08,0.23688895745127644,0.2210826,0.21146292014402543
2012-03-09,0.22150193443399138,0.21387462,0.215442892371511
2012-03-12,0.21984280519208207,0.21364538,0.21766234417098382
2012-03-13,0.21146292014402543,0.21519288,0.2095909197339708
2012-03-14,0.215442892371511,0.21138,0.1905976376452085
2012-03-15,0.21766234417098382,0.19869716,0.1833426787563809
2012-03-16,0.2095909197339708,0.18710804,0.19171671677812793
2012-03-19,0.1905976376452085,0.18783574,0.19112838181620642
2012-03-20,0.1833426787563809,0.18930759,0.18348284034197107
