,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM
2012-05-10,0.2186604445224619,0.2025863
2012-05-11,0.205950465602423,0.21359034
2012-05-14,0.20630925431515054,0.20409128
2012-05-15,0.22032017747988927,0.19791418
2012-05-16,0.20358776928109187,0.18855684
2012-05-17,0.20069570000442424,0.18428418
2012-05-18,0.1869020476418035,0.18139157
2012-05-21,0.1879938279382585,0.17153385
2012-05-22,0.18244581968342097,0.16782722
2012-05-23,0.1697745531827213,0.1659852
2012-05-24,0.1714221482878623,0.15234289
2012-05-25,0.1671133804380354,0.14289835
2012-05-28,0.14600315694777968,0.14315261
2012-05-29,0.14549939059768582,0.14593112
2012-05-30,0.1450503470116569,0.14685401
2012-05-31,0.14970102224996876,0.14838201
2012-06-01,0.14850712612349007,0.14695133
2012-06-04,0.15179272493372895,0.13452342
2012-06-05,0.14747373768316072,0.14106944
2012-06-06,0.12721069340667177,0.1402851
2012-06-07,0.15133718353499456,0.13647978
2012-06-08,0.13871440058289172,0.14387831
2012-06-11,0.13882938128653396,0.15133992
2012-06-12,0.14930178846162365,0.15291706
2012-06-13,0.15564746057630804,0.15266028
2012-06-14,0.15501291942601494,0.15370972
2012-06-15,0.155049178051648,0.15290691
2012-06-18,0.15668219510251982,0.13915674
2012-06-19,0.1544173407335989,0.13193026
2012-06-20,0.1301848474966725,0.13868988
2012-06-21,0.13654337774371958,0.14428565
2012-06-22,0.14233325237912828,0.13604645
2012-06-25,0.14819190667038287,0.12860397
2012-06-26,0.13008392247654507,0.1327794
2012-06-27,0.130766198699143,0.13798311
2012-06-28,0.1363250654825979,0.16627236
2012-06-29,0.14137886186676737,0.17608108
2012-07-02,0.18193571175580972,0.1806236
2012-07-03,0.18252043530391662,0.1798586
2012-07-04,0.18396252720863257,0.17644306
2012-07-05,0.18210799266529035,0.18025868
2012-07-06,0.1778798884538297,0.18849397
2012-07-09,0.18549843048655393,0.19406915
2012-07-10,0.1940898313083523,0.19307482
2012-07-11,0.19894618448121507,0.19238244
2012-07-12,0.1952847653296265,0.19129536
2012-07-13,0.19563482276341868,0.19657108
2012-07-16,0.19380304643741017,0.19818369
2012-07-17,0.20192603271558887,0.18890463
2012-07-18,0.20186660512767138,0.18678173
2012-07-19,0.18681034142121047,0.19638216
2012-07-20,0.1917605744225633,0.19652322
2012-07-23,0.20238529946023862,0.19409864
2012-07-24,0.1996556842729109,0.19580993
2012-07-25,0.196144365422142,0.19680303
2012-07-26,0.2001467064967926,0.19581185
2012-07-27,0.20011212705478068,0.19545475
2012-07-30,0.19848346661276597,0.19001988
2012-07-31,0.19865541224118713,0.18852174
2012-08-01,0.19041040749226565,0.19160429
2012-08-02,0.192375658022537,0.20595169
2012-08-03,0.19562690855055068,0.20862289
2012-08-06,0.21368543922790104,0.21327515
